id,ref,Fallow_Cotton,NonComerc_Cotton,Pasture2,Soybean_Comerc1,Soybean_Comerc2,Soybean_Cotton,Soybean_Fallow1,Soybean_Fallow2,Soybean_NonComerc1,Soybean_NonComerc2,Soybean_Pasture,Water,Cerrado,Pasture,Forest
1,Fallow_Cotton,1.4373119522017257,2.059998635743979,3.854051566439092,3.854572673245044,3.692194399579922,3.703915163834357,3.559375291227148,3.8835433942190773,4.118048588377722,4.07328482229673,3.3816717139526404,7.485336603574387,3.2659738713536326,2.720886005880923,4.635746221958924
2,Fallow_Cotton,1.3948772413321922,1.6475014962726013,3.670917958128022,3.756212135176035,3.6903509043865084,3.224348843251342,3.202050419446001,3.007596130150157,3.834938128448293,4.210984698374844,3.3494033062673223,8.165514482836413,3.4356420594868604,2.9402320739557646,4.153282570547376
3,Fallow_Cotton,1.5378386379887177,2.237996201019527,4.336164160405245,4.140549899180043,4.154512505024363,3.9152581878619297,3.743816832336906,3.423786803395272,4.33792229333819,4.385361642416644,3.94915375138377,7.32751017168861,3.8419494706752806,3.379435543226061,4.936358323379686
4,Fallow_Cotton,2.1416411172999537,1.9954568655744156,2.962931126297345,2.363075603736777,2.1307802576260695,1.9293645038029246,2.9397535803402075,3.8386291640946446,2.6331244668597216,2.517318526045547,2.3748402001472706,8.066404844295036,3.3943776909908694,2.9097146292724054,3.71831866532423
5,Fallow_Cotton,1.6365026341561373,1.927298458339656,3.8702173164454297,3.6567838954423455,3.7275191230453606,3.779016396808927,3.633701795192508,3.628839473645233,3.9427513011474025,3.928888192041975,3.3809045361564523,7.622455557327971,3.3090369275912557,2.8381856699855708,4.649799959505821
6,Fallow_Cotton,1.2882753035790793,1.8636730504663506,3.5776254885720506,3.5092576725695954,3.666382827185188,3.779571452596092,2.9345623371933196,2.2836151955604906,3.368511158081936,3.4719708368845605,3.545447482707153,7.758478211484752,3.57325078816996,2.955847581965446,5.0802246273789144
7,Fallow_Cotton,1.5571908260656115,1.8224739840079178,4.668205596968303,3.650356043208255,3.49970785852922,3.7022533997495066,3.4606300832844115,2.903479274127909,3.708085048473986,3.753788390585353,4.27117926068275,8.887969592239104,4.48063344700783,3.8194240097473764,5.0896086155739635
8,Fallow_Cotton,1.3260010241951479,1.6271370663230365,3.6432587635014366,3.6036270432489403,3.6256063678938864,3.290315446152914,2.75590488092021,2.6040219844985892,3.158965093176634,3.4831361399783773,3.633705939483613,7.483842380098066,3.707340009600648,3.2579097386414086,5.183899356603224
9,Fallow_Cotton,1.5016764978533523,1.7871486790064757,4.386871168554989,3.535136898604138,3.595908621494018,3.7771698834639578,2.9437060708208502,2.8449696524914945,3.5524343293311698,3.8547794668133535,3.819735112343882,7.878309294004565,4.2882239895957905,3.7308426025920114,4.762633139811334
10,NonComerc_Cotton,1.8384087665368545,1.79347872706461,3.6168809232917267,3.159505054307522,2.560322594605218,1.9412853710830837,3.2815248337324983,2.3750654919672622,3.470717765401042,2.910971227346942,3.1850620989316054,8.126228336668884,4.631034944822473,3.777200805787827,4.667718444143348
11,NonComerc_Cotton,1.792347237043953,1.7227031729796183,3.8700413102217937,3.4943741216477497,2.957229130128128,1.9855221775935012,3.0484069407105685,2.9201171537580493,2.930889206376404,3.1830699714013204,3.757798677903074,8.963007000026487,4.111737174846544,3.3268696204976065,4.071928183593008
12,NonComerc_Cotton,2.0665384636587327,1.7901444427400615,3.30907569615116,3.1258427702993923,2.5203114388260675,1.8188754544074817,2.808243807504866,2.8273645447133746,2.8349836998783307,2.9189037188159697,3.7936625603185936,9.623144531979532,3.585440015590637,3.4077877076750482,3.9467804191847287
13,NonComerc_Cotton,1.6683262361747786,1.519696313342845,3.4362406141702513,3.3313713763977937,2.6865842434707923,1.8324481843734954,2.7492984330927377,2.7474375523456187,2.823268088073737,3.034450801319487,3.5269722688762992,9.212534625438167,3.6591135071300718,2.8719376514530377,3.7688921089682847
14,NonComerc_Cotton,2.088518300896208,1.5385745980416388,3.591974581592358,3.08083604878536,2.6572699207876616,1.870576125101454,2.590794237270487,2.415424135560408,2.7786759897664375,3.183417392299786,3.646778393729158,8.994762840946468,3.828059245033682,3.4297753759562823,4.7986192419665645
15,NonComerc_Cotton,2.25956048580959,1.8288146524015247,3.312194150611964,2.2808617265658824,2.083347420130126,1.8468118521895291,3.068934211710938,3.0077626851561745,2.835805509495622,2.6873224446948734,3.0588694061919237,9.632642801368627,3.445474640286552,2.984890611684779,4.301485076241445
16,NonComerc_Cotton,2.4476922110462835,2.1214294129452513,4.1070387395497905,2.716315425906908,2.5775779147946047,2.1477584546619446,3.6194343647344045,3.7516837751415775,3.25231544818647,3.1974388061141137,3.2860926192812294,9.979199966149977,4.100974603914738,3.5764092051605676,4.357431968244055
